Elemento,Area,Area proteina dentro de celuala,Porcentaje proteina dentro de celula,Eje mayor,Eje menor,Orientacion,Inten_media nucleo,Inten_media_proteina,Estado,Region de pertenencia
1,231,51,22.0779220779221,18.3945601677714,16.0950520196398,-60.2243155572565,0.11211272387743,0.100619641796112,1,1
2,378,313,82.8042328042328,23.9089693049513,20.2203822978766,-43.1417353130495,0.16491337275651,0.188463533561573,1,1
3,184,0,0,18.5966838652861,12.7273337872891,-41.4221469940549,0.112489343563512,0,0,2
4,402,384,95.5223880597015,23.1055888726843,22.253695946108,42.5777035332022,0.201726660813579,0.228231392059311,1,1
5,322,255,79.1925465838509,24.0239126847802,17.186225962369,-85.2912238636699,0.31804895871392,0.210023139690659,1,1
6,168,5,2.97619047619048,16.3284528340735,13.2440931914068,-64.6437638682493,0.0885854341736695,0.0422735760971055,0,1
7,409,304,74.3276283618582,24.0940668242466,21.6707361644054,88.7666360303647,0.203902392252744,0.165616760151493,1,1
8,2391,1091,45.629443747386,85.3400821716256,48.8906293165272,29.9458620521488,0.442471359099893,0.151171468169033,2,1
9,392,267,68.1122448979592,23.7989240868081,21.0462510788673,76.3851021825092,0.155862344937975,0.165336134453781,1,1
10,332,114,34.3373493975904,23.5732299449864,18.029511066819,-82.6356082242305,0.363843609733049,0.106106780061422,1,1
11,267,68,25.4681647940075,21.7038985518239,15.7691387908636,-70.4930811975231,0.104810163765881,0.0905192039362561,1,1
12,1408,620,44.0340909090909,82.825826820869,28.4040627615174,-19.3412160531966,0.284241310160428,0.136438836898396,2,1
13,381,107,28.0839895013123,22.1358263817328,22.0127638519072,67.0446314421944,0.353991045236992,0.104626627553909,1,1
14,335,243,72.5373134328358,21.7041228445529,19.7506293459407,80.7142632925238,0.192203687445127,0.18071992976295,1,1
15,418,338,80.8612440191388,24.9927558624552,21.3794644093771,-79.7157341523837,0.391622103386809,0.24424430059105,1,1
16,289,8,2.7681660899654,21.4043560377304,17.3437536349147,-76.7734117121654,0.368736006513332,0.0311961462785806,0,1
17,396,188,47.4747474747475,24.3419278686336,20.7707442744049,-57.4300407407868,0.360794216676569,0.122816399286987,1,1
18,347,19,5.47550432276657,21.6017674632023,20.629983969686,-7.27971807001304,0.340419280103972,0.0518053907441939,0,1
19,231,0,0,19.1976748096308,15.4284822316704,43.0174672098389,0.108887191240132,0.00427807486631016,0,1
20,404,379,93.8118811881188,23.326159223238,22.138380449766,-16.283088053988,0.311881188118811,0.251252184041933,1,1
21,395,270,68.3544303797468,26.5721631176351,19.3281265473302,-67.0019729276502,0.40005956813105,0.179091586001489,1,1
