Marcaje,Conteo
Total,248
Alexa Fluor 488+/Alexa Fluor 555+,34
Alexa Fluor 488-/Alexa Fluor 555+,30
Alexa Fluor 488-/Alexa Fluor 555-,124
Alexa Fluor 488+/Alexa Fluor 555-,43
Warning,17
