Elemento,Area,Area proteina dentro de celuala,Porcentaje proteina dentro de celula,Eje mayor,Eje menor,Orientacion,Inten_media nucleo,Inten_media_proteina,Estado,Region de pertenencia
1,231,0,0,18.3945601677714,16.0950520196398,-60.2243155572565,0.11211272387743,0.00023767082590612,0,1
2,378,0,0,23.9089693049513,20.2203822978766,-43.1417353130495,0.16491337275651,0.00342359165888578,0,1
3,184,0,0,18.5966838652861,12.7273337872891,-41.4221469940549,0.112489343563512,2.13128729752771e-05,0,2
4,402,0,0,23.1055888726843,22.253695946108,42.5777035332022,0.201726660813579,0.010496536923227,0,1
5,322,0,0,24.0239126847802,17.186225962369,-85.2912238636699,0.31804895871392,0.0556448666423091,0,1
6,168,0,0,16.3284528340735,13.2440931914068,-64.6437638682493,0.0885854341736695,0.000490196078431373,0,1
7,409,0,0,24.0940668242466,21.6707361644054,88.7666360303647,0.203902392252744,0.0103264777793758,0,1
8,2391,534,22.3337515683814,85.3400821716256,48.8906293165272,29.9458620521488,0.442471359099893,0.137494362027538,2,1
9,392,0,0,23.7989240868081,21.0462510788673,76.3851021825092,0.155862344937975,0.00793317326930772,0,1
10,332,26,7.83132530120482,23.5732299449864,18.029511066819,-82.6356082242305,0.363843609733049,0.106898180959131,0,1
11,267,0,0,21.7038985518239,15.7691387908636,-70.4930811975231,0.104810163765881,0.00270250422266285,0,1
12,1408,11,0.78125,82.825826820869,28.4040627615174,-19.3412160531966,0.284241310160428,0.0584948752228163,2,1
13,381,1,0.26246719160105,22.1358263817328,22.0127638519072,67.0446314421944,0.353991045236992,0.0716586897226081,0,1
14,335,0,0,21.7041228445529,19.7506293459407,80.7142632925238,0.192203687445127,0.030787240269242,0,1
15,418,116,27.7511961722488,24.9927558624552,21.3794644093771,-79.7157341523837,0.391622103386809,0.145914250867811,1,1
16,289,45,15.5709342560554,21.4043560377304,17.3437536349147,-76.7734117121654,0.368736006513332,0.126182237600923,0,1
17,396,6,1.51515151515152,24.3419278686336,20.7707442744049,-57.4300407407868,0.360794216676569,0.0931273519508813,0,1
18,347,5,1.44092219020173,21.6017674632023,20.629983969686,-7.27971807001304,0.340419280103972,0.0868960840820477,0,1
19,231,0,0,19.1976748096308,15.4284822316704,43.0174672098389,0.108887191240132,0.000288600288600289,0,1
20,404,6,1.48514851485149,23.326159223238,22.138380449766,-16.283088053988,0.311881188118811,0.0975927004465152,0,1
21,395,67,16.9620253164557,26.5721631176351,19.3281265473302,-67.0019729276502,0.40005956813105,0.134743112434847,0,1
22,2355,2,0.0849256900212314,113.234125076773,45.1166177324042,76.7607521073485,0.211266808209484,0.0247783189709004,2,1
23,413,171,41.4043583535109,24.7329023986714,21.338653442185,81.8790026614312,0.446318188292266,0.198955514409153,1,1
24,330,0,0,25.5390018086677,16.7977755541678,-81.4690638151834,0.161723113487819,0.0302198455139632,0,1
25,373,3,0.804289544235925,23.451534968862,20.399659798382,-88.1237287343835,0.266435367712768,0.0793250275981706,0,1
26,287,0,0,22.3567429936646,16.5004425256145,-54.0389312340138,0.151028216164515,0.0157955865272938,0,1
27,392,62,15.8163265306122,25.4961027199344,19.6436321717199,86.7505493878296,0.45594237695078,0.159043617446979,0,1
28,377,30,7.95755968169761,22.9486825411065,21.0535691537716,-80.8795081913327,0.39499661933739,0.126353565298798,0,1
29,349,111,31.8051575931232,30.8965448273018,14.708335771764,-38.6554915975027,0.548098207764481,0.17520085398056,1,1
30,362,15,4.14364640883978,25.568870967095,18.1617434654011,-76.9420392806831,0.30764814212978,0.115469613259668,0,1
31,406,41,10.0985221674877,27.1917358960918,19.1203249427543,-71.9314190825716,0.354505940307157,0.133912875495025,0,1
32,1918,240,12.5130344108446,99.2820945444081,37.5150327670777,63.1776118148923,0.341949334478317,0.107487374511849,2,1
33,183,0,0,20.3041087670266,11.589857246469,75.3628753212381,0.11818279224258,0.0130933247615986,0,1
34,948,299,31.5400843881857,37.0139525430993,34.6545530677202,-27.2665204918803,0.50586166956234,0.169322412509308,2,1
35,289,0,0,22.5913256016076,16.9876860506713,50.6963220729391,0.1068322138544,0.00822308162019133,0,1
36,360,11,3.05555555555556,24.6267192782948,18.7118832331562,-60.0464153501689,0.348082788671023,0.0886492374727668,0,1
37,371,283,76.2803234501348,22.503225834682,21.0738403305455,72.5251360651765,0.511960255800433,0.322287405528249,1,1
38,436,2,0.458715596330275,26.2353166190902,21.2215366603581,-78.3996881321991,0.234871379744558,0.0738801942795466,0,1
