Marcaje,Conteo
Total,248
Alexa Fluor 647+/Alexa Fluor 555+,37
Alexa Fluor 647-/Alexa Fluor 555+,27
Alexa Fluor 647-/Alexa Fluor 555-,116
Alexa Fluor 647+/Alexa Fluor 555-,51
Warning,17
