Elemento,Area,Area proteina dentro de celuala,Porcentaje proteina dentro de celula,Eje mayor,Eje menor,Orientacion,Inten_media nucleo,Inten_media_proteina,Estado,Region de pertenencia
1,231,88,38.0952380952381,18.3945601677714,16.0950520196398,-60.2243155572565,0.11211272387743,0.165554706731177,1,1
2,378,237,62.6984126984127,23.9089693049513,20.2203822978766,-43.1417353130495,0.16491337275651,0.19187675070028,1,1
3,184,0,0,18.5966838652861,12.7273337872891,-41.4221469940549,0.112489343563512,0.00496589940323956,0,2
4,402,343,85.3233830845771,23.1055888726843,22.253695946108,42.5777035332022,0.201726660813579,0.250834064969271,1,1
5,322,266,82.6086956521739,24.0239126847802,17.186225962369,-85.2912238636699,0.31804895871392,0.319291194738765,1,1
6,168,0,0,16.3284528340735,13.2440931914068,-64.6437638682493,0.0885854341736695,0.0718954248366013,0,1
7,409,299,73.1051344743276,24.0940668242466,21.6707361644054,88.7666360303647,0.203902392252744,0.212474231746488,1,1
8,2391,1671,69.8870765370138,85.3400821716256,48.8906293165272,29.9458620521488,0.442471359099893,0.294699895851273,2,1
9,392,189,48.2142857142857,23.7989240868081,21.0462510788673,76.3851021825092,0.155862344937975,0.178451380552221,1,1
10,332,236,71.0843373493976,23.5732299449864,18.029511066819,-82.6356082242305,0.363843609733049,0.233876683203402,1,1
11,267,3,1.12359550561798,21.7038985518239,15.7691387908636,-70.4930811975231,0.104810163765881,0.101520158625248,0,1
12,1408,983,69.8153409090909,82.825826820869,28.4040627615174,-19.3412160531966,0.284241310160428,0.261316287878788,2,1
13,381,285,74.8031496062992,22.1358263817328,22.0127638519072,67.0446314421944,0.353991045236992,0.266378467397457,1,1
14,335,164,48.955223880597,21.7041228445529,19.7506293459407,80.7142632925238,0.192203687445127,0.177301726660813,1,1
15,418,351,83.9712918660287,24.9927558624552,21.3794644093771,-79.7157341523837,0.391622103386809,0.346111267473497,1,1
16,289,28,9.68858131487889,21.4043560377304,17.3437536349147,-76.7734117121654,0.368736006513332,0.125178098921229,0,1
17,396,307,77.5252525252525,24.3419278686336,20.7707442744049,-57.4300407407868,0.360794216676569,0.255337690631808,1,1
18,347,206,59.3659942363112,21.6017674632023,20.629983969686,-7.27971807001304,0.340419280103972,0.190552070972481,1,1
19,231,20,8.65800865800866,19.1976748096308,15.4284822316704,43.0174672098389,0.108887191240132,0.101570325099737,0,1
20,404,337,83.4158415841584,23.326159223238,22.138380449766,-16.283088053988,0.311881188118811,0.300990099009901,1,1
21,395,347,87.8481012658228,26.5721631176351,19.3281265473302,-67.0019729276502,0.40005956813105,0.280248200546041,1,1
22,2355,632,26.8365180467091,113.234125076773,45.1166177324042,76.7607521073485,0.211266808209484,0.156806127971359,2,1
23,413,382,92.4939467312349,24.7329023986714,21.338653442185,81.8790026614312,0.446318188292266,0.431495988225799,1,1
